"Server","TimeCreated","LogName","Source","Id","Level","Message"
"ASPYKTOTSSQL2","7/22/2026 7:11:19 PM","Application","MSSQLSERVER","18456","Information","Login failed for user 'SSCDIRECT\ASPYKTOTSSQL2SQLSafe'. Reason: Could not find a login matching the name provided. [CLIENT: 10.128.11.183]"
"ASPYKTOTSSQL2","7/22/2026 7:16:19 PM","Application","MSSQLSERVER","18456","Information","Login failed for user 'SSCDIRECT\ASPYKTOTSSQL2SQLSafe'. Reason: Could not find a login matching the name provided. [CLIENT: 10.128.11.183]"
"ASPYKTOTSSQL2","7/22/2026 7:21:20 PM","Application","MSSQLSERVER","18456","Information","Login failed for user 'SSCDIRECT\ASPYKTOTSSQL2SQLSafe'. Reason: Could not find a login matching the name provided. [CLIENT: 10.128.11.183]"
"ASPYKTOTSSQL2","7/22/2026 7:26:20 PM","Application","MSSQLSERVER","18456","Information","Login failed for user 'SSCDIRECT\ASPYKTOTSSQL2SQLSafe'. Reason: Could not find a login matching the name provided. [CLIENT: 10.128.11.183]"
"ASPYKTOTSSQL2","7/22/2026 7:31:20 PM","Application","MSSQLSERVER","18456","Information","Login failed for user 'SSCDIRECT\ASPYKTOTSSQL2SQLSafe'. Reason: Could not find a login matching the name provided. [CLIENT: 10.128.11.183]"
"ASPYKTOTSSQL2","7/22/2026 7:51:35 PM","Application","MSSQLSERVER","18456","Information","Login failed for user 'SSCDIRECT\ASPYKTOTSSQL2SQLSafe'. Reason: Could not find a login matching the name provided. [CLIENT: 10.128.11.183]"
"ASPYKTOTSSQL2","7/22/2026 7:56:35 PM","Application","MSSQLSERVER","18456","Information","Login failed for user 'SSCDIRECT\ASPYKTOTSSQL2SQLSafe'. Reason: Could not find a login matching the name provided. [CLIENT: 10.128.11.183]"
"ASPYKTOTSSQL2","7/22/2026 8:01:35 PM","Application","MSSQLSERVER","18456","Information","Login failed for user 'SSCDIRECT\ASPYKTOTSSQL2SQLSafe'. Reason: Could not find a login matching the name provided. [CLIENT: 10.128.11.183]"
"ASPYKTOTSSQL2","7/22/2026 8:06:35 PM","Application","MSSQLSERVER","18456","Information","Login failed for user 'SSCDIRECT\ASPYKTOTSSQL2SQLSafe'. Reason: Could not find a login matching the name provided. [CLIENT: 10.128.11.183]"
"ASPYKTOTSSQL2","7/22/2026 8:11:35 PM","Application","MSSQLSERVER","18456","Information","Login failed for user 'SSCDIRECT\ASPYKTOTSSQL2SQLSafe'. Reason: Could not find a login matching the name provided. [CLIENT: 10.128.11.183]"
"ASPYKTOTSSQL2","7/22/2026 8:16:35 PM","Application","MSSQLSERVER","18456","Information","Login failed for user 'SSCDIRECT\ASPYKTOTSSQL2SQLSafe'. Reason: Could not find a login matching the name provided. [CLIENT: 10.128.11.183]"
"ASPYKTOTSSQL2","7/22/2026 8:21:35 PM","Application","MSSQLSERVER","18456","Information","Login failed for user 'SSCDIRECT\ASPYKTOTSSQL2SQLSafe'. Reason: Could not find a login matching the name provided. [CLIENT: 10.128.11.183]"
"ASPYKTOTSSQL2","7/22/2026 8:26:35 PM","Application","MSSQLSERVER","18456","Information","Login failed for user 'SSCDIRECT\ASPYKTOTSSQL2SQLSafe'. Reason: Could not find a login matching the name provided. [CLIENT: 10.128.11.183]"
"ASPYKTOTSSQL2","7/22/2026 8:31:35 PM","Application","MSSQLSERVER","18456","Information","Login failed for user 'SSCDIRECT\ASPYKTOTSSQL2SQLSafe'. Reason: Could not find a login matching the name provided. [CLIENT: 10.128.11.183]"
"ASPYKTOTSSQL2","7/22/2026 8:36:35 PM","Application","MSSQLSERVER","18456","Information","Login failed for user 'SSCDIRECT\ASPYKTOTSSQL2SQLSafe'. Reason: Could not find a login matching the name provided. [CLIENT: 10.128.11.183]"
"ASPYKTOTSSQL2","7/22/2026 8:41:35 PM","Application","MSSQLSERVER","18456","Information","Login failed for user 'SSCDIRECT\ASPYKTOTSSQL2SQLSafe'. Reason: Could not find a login matching the name provided. [CLIENT: 10.128.11.183]"
"ASPYKTOTSSQL2","7/22/2026 8:46:35 PM","Application","MSSQLSERVER","18456","Information","Login failed for user 'SSCDIRECT\ASPYKTOTSSQL2SQLSafe'. Reason: Could not find a login matching the name provided. [CLIENT: 10.128.11.183]"
"ASPYKTOTSSQL2","7/22/2026 8:51:36 PM","Application","MSSQLSERVER","18456","Information","Login failed for user 'SSCDIRECT\ASPYKTOTSSQL2SQLSafe'. Reason: Could not find a login matching the name provided. [CLIENT: 10.128.11.183]"
"ASPYKTOTSSQL2","7/22/2026 8:56:36 PM","Application","MSSQLSERVER","18456","Information","Login failed for user 'SSCDIRECT\ASPYKTOTSSQL2SQLSafe'. Reason: Could not find a login matching the name provided. [CLIENT: 10.128.11.183]"
"ASPYKTOTSSQL2","7/22/2026 9:01:36 PM","Application","MSSQLSERVER","18456","Information","Login failed for user 'SSCDIRECT\ASPYKTOTSSQL2SQLSafe'. Reason: Could not find a login matching the name provided. [CLIENT: 10.128.11.183]"
"ASPYKTOTSSQL2","7/22/2026 9:03:03 PM","Application","MSSQLSERVER","17137","Information","Starting up database 'SfStaging_UAT'."
"ASPYKTOTSSQL2","7/22/2026 9:03:03 PM","Application","MSSQLSERVER","3402","Information","The database 'SfStaging_UAT' is marked RESTORING and is in a state that does not allow recovery to be run."
"ASPYKTOTSSQL2","7/22/2026 9:03:04 PM","Application","MSSQLSERVER","17137","Information","Starting up database 'SfStaging_UAT'."
"ASPYKTOTSSQL2","7/22/2026 9:03:04 PM","Application","MSSQLSERVER","4356","Information","Restore is complete on database 'SFStaging_UAT'. The database is now available."
"ASPYKTOTSSQL2","7/22/2026 9:06:36 PM","Application","MSSQLSERVER","18456","Information","Login failed for user 'SSCDIRECT\ASPYKTOTSSQL2SQLSafe'. Reason: Could not find a login matching the name provided. [CLIENT: 10.128.11.183]"
"ASPYKTOTSSQL2","7/22/2026 9:11:36 PM","Application","MSSQLSERVER","18456","Information","Login failed for user 'SSCDIRECT\ASPYKTOTSSQL2SQLSafe'. Reason: Could not find a login matching the name provided. [CLIENT: 10.128.11.183]"
"ASPYKTOTSSQL2","7/22/2026 9:16:36 PM","Application","MSSQLSERVER","18456","Information","Login failed for user 'SSCDIRECT\ASPYKTOTSSQL2SQLSafe'. Reason: Could not find a login matching the name provided. [CLIENT: 10.128.11.183]"
"ASPYKTOTSSQL2","7/22/2026 9:21:36 PM","Application","MSSQLSERVER","18456","Information","Login failed for user 'SSCDIRECT\ASPYKTOTSSQL2SQLSafe'. Reason: Could not find a login matching the name provided. [CLIENT: 10.128.11.183]"
"ASPYKTOTSSQL2","7/22/2026 9:26:36 PM","Application","MSSQLSERVER","18456","Information","Login failed for user 'SSCDIRECT\ASPYKTOTSSQL2SQLSafe'. Reason: Could not find a login matching the name provided. [CLIENT: 10.128.11.183]"
"ASPYKTOTSSQL2","7/22/2026 9:31:36 PM","Application","MSSQLSERVER","18456","Information","Login failed for user 'SSCDIRECT\ASPYKTOTSSQL2SQLSafe'. Reason: Could not find a login matching the name provided. [CLIENT: 10.128.11.183]"
,,,,,,
