"Server","File","TimeCreated","Line"
"ASPYKTOTSSQL2","ERRORLOG.1","7/22/2026 8:06:35 PM","2026-07-22 20:06:35.49 Logon       Error: 18456, Severity: 14, State: 5."
"ASPYKTOTSSQL2","ERRORLOG.1","7/22/2026 8:11:35 PM","2026-07-22 20:11:35.53 Logon       Login failed for user 'SSCDIRECT\ASPYKTOTSSQL2SQLSafe'. Reason: Could not find a login matching the name provided. [CLIENT: 10.128.11.183]"
"ASPYKTOTSSQL2","ERRORLOG.1","7/22/2026 8:11:35 PM","2026-07-22 20:11:35.53 Logon       Error: 18456, Severity: 14, State: 5."
"ASPYKTOTSSQL2","ERRORLOG.1","7/22/2026 8:16:35 PM","2026-07-22 20:16:35.56 Logon       Login failed for user 'SSCDIRECT\ASPYKTOTSSQL2SQLSafe'. Reason: Could not find a login matching the name provided. [CLIENT: 10.128.11.183]"
"ASPYKTOTSSQL2","ERRORLOG.1","7/22/2026 8:16:35 PM","2026-07-22 20:16:35.56 Logon       Error: 18456, Severity: 14, State: 5."
"ASPYKTOTSSQL2","ERRORLOG.1","7/22/2026 8:21:35 PM","2026-07-22 20:21:35.69 Logon       Login failed for user 'SSCDIRECT\ASPYKTOTSSQL2SQLSafe'. Reason: Could not find a login matching the name provided. [CLIENT: 10.128.11.183]"
"ASPYKTOTSSQL2","ERRORLOG.1","7/22/2026 8:21:35 PM","2026-07-22 20:21:35.69 Logon       Error: 18456, Severity: 14, State: 5."
"ASPYKTOTSSQL2","ERRORLOG.1","7/22/2026 8:26:35 PM","2026-07-22 20:26:35.72 Logon       Login failed for user 'SSCDIRECT\ASPYKTOTSSQL2SQLSafe'. Reason: Could not find a login matching the name provided. [CLIENT: 10.128.11.183]"
"ASPYKTOTSSQL2","ERRORLOG.1","7/22/2026 8:26:35 PM","2026-07-22 20:26:35.72 Logon       Error: 18456, Severity: 14, State: 5."
"ASPYKTOTSSQL2","ERRORLOG.1","7/22/2026 8:31:35 PM","2026-07-22 20:31:35.75 Logon       Login failed for user 'SSCDIRECT\ASPYKTOTSSQL2SQLSafe'. Reason: Could not find a login matching the name provided. [CLIENT: 10.128.11.183]"
"ASPYKTOTSSQL2","ERRORLOG.1","7/22/2026 8:31:35 PM","2026-07-22 20:31:35.75 Logon       Error: 18456, Severity: 14, State: 5."
"ASPYKTOTSSQL2","ERRORLOG.1","7/22/2026 8:36:35 PM","2026-07-22 20:36:35.78 Logon       Login failed for user 'SSCDIRECT\ASPYKTOTSSQL2SQLSafe'. Reason: Could not find a login matching the name provided. [CLIENT: 10.128.11.183]"
"ASPYKTOTSSQL2","ERRORLOG.1","7/22/2026 8:36:35 PM","2026-07-22 20:36:35.78 Logon       Error: 18456, Severity: 14, State: 5."
"ASPYKTOTSSQL2","ERRORLOG.1","7/22/2026 8:41:35 PM","2026-07-22 20:41:35.81 Logon       Login failed for user 'SSCDIRECT\ASPYKTOTSSQL2SQLSafe'. Reason: Could not find a login matching the name provided. [CLIENT: 10.128.11.183]"
"ASPYKTOTSSQL2","ERRORLOG.1","7/22/2026 8:41:35 PM","2026-07-22 20:41:35.81 Logon       Error: 18456, Severity: 14, State: 5."
"ASPYKTOTSSQL2","ERRORLOG.1","7/22/2026 8:46:35 PM","2026-07-22 20:46:35.98 Logon       Login failed for user 'SSCDIRECT\ASPYKTOTSSQL2SQLSafe'. Reason: Could not find a login matching the name provided. [CLIENT: 10.128.11.183]"
"ASPYKTOTSSQL2","ERRORLOG.1","7/22/2026 8:46:35 PM","2026-07-22 20:46:35.98 Logon       Error: 18456, Severity: 14, State: 5."
"ASPYKTOTSSQL2","ERRORLOG.1","7/22/2026 8:51:36 PM","2026-07-22 20:51:36.11 Logon       Login failed for user 'SSCDIRECT\ASPYKTOTSSQL2SQLSafe'. Reason: Could not find a login matching the name provided. [CLIENT: 10.128.11.183]"
"ASPYKTOTSSQL2","ERRORLOG.1","7/22/2026 8:51:36 PM","2026-07-22 20:51:36.11 Logon       Error: 18456, Severity: 14, State: 5."
"ASPYKTOTSSQL2","ERRORLOG.1","7/22/2026 8:56:36 PM","2026-07-22 20:56:36.16 Logon       Login failed for user 'SSCDIRECT\ASPYKTOTSSQL2SQLSafe'. Reason: Could not find a login matching the name provided. [CLIENT: 10.128.11.183]"
"ASPYKTOTSSQL2","ERRORLOG.1","7/22/2026 8:56:36 PM","2026-07-22 20:56:36.16 Logon       Error: 18456, Severity: 14, State: 5."
"ASPYKTOTSSQL2","ERRORLOG.1","7/22/2026 9:01:36 PM","2026-07-22 21:01:36.19 Logon       Login failed for user 'SSCDIRECT\ASPYKTOTSSQL2SQLSafe'. Reason: Could not find a login matching the name provided. [CLIENT: 10.128.11.183]"
"ASPYKTOTSSQL2","ERRORLOG.1","7/22/2026 9:01:36 PM","2026-07-22 21:01:36.19 Logon       Error: 18456, Severity: 14, State: 5."
"ASPYKTOTSSQL2","ERRORLOG.1","7/22/2026 9:03:03 PM","2026-07-22 21:03:03.63 spid108     The database 'SfStaging_UAT' is marked RESTORING and is in a state that does not allow recovery to be run."
"ASPYKTOTSSQL2","ERRORLOG.1","7/22/2026 9:03:03 PM","2026-07-22 21:03:03.61 spid108     Starting up database 'SfStaging_UAT'."
"ASPYKTOTSSQL2","ERRORLOG.1","7/22/2026 9:03:04 PM","2026-07-22 21:03:04.99 Backup      Restore is complete on database 'SFStaging_UAT'.  The database is now available."
"ASPYKTOTSSQL2","ERRORLOG.1","7/22/2026 9:03:04 PM","2026-07-22 21:03:04.51 spid108     Starting up database 'SfStaging_UAT'."
"ASPYKTOTSSQL2","ERRORLOG.1","7/22/2026 9:06:36 PM","2026-07-22 21:06:36.22 Logon       Login failed for user 'SSCDIRECT\ASPYKTOTSSQL2SQLSafe'. Reason: Could not find a login matching the name provided. [CLIENT: 10.128.11.183]"
"ASPYKTOTSSQL2","ERRORLOG.1","7/22/2026 9:06:36 PM","2026-07-22 21:06:36.22 Logon       Error: 18456, Severity: 14, State: 5."
